Student ID,Hostel,Year,Branch1,Branch2
364,AH2,3,ENI,NONE
365,AH2,3,ENI,NONE
366,AH2,3,ENI,NONE
367,AH2,3,ENI,NONE
368,AH2,3,ENI,NONE
369,AH2,3,ENI,NONE
370,AH2,3,ENI,NONE
371,AH2,3,ENI,NONE
372,AH2,3,ENI,NONE
373,AH2,3,ENI,NONE
374,AH3,3,ENI,NONE
375,AH3,3,ENI,NONE
376,AH3,3,ENI,NONE
377,AH3,3,ENI,NONE
378,AH3,3,ENI,NONE
379,AH3,3,ENI,NONE
380,AH3,3,ENI,NONE
381,AH3,3,ENI,NONE
382,AH3,3,ENI,NONE
383,AH3,3,ENI,NONE
384,AH3,3,ENI,NONE
385,AH3,3,ENI,NONE
386,AH3,3,ENI,NONE
387,AH3,3,ENI,NONE
388,AH3,3,ENI,NONE
389,AH3,3,ENI,NONE
390,AH3,3,ENI,NONE
391,AH3,3,ENI,NONE
392,AH3,3,ENI,NONE
393,AH3,3,ENI,NONE
394,AH3,3,ENI,NONE
395,AH3,3,ENI,NONE
396,AH3,3,ENI,NONE
397,AH3,3,ENI,NONE
398,AH3,3,ENI,NONE
399,AH3,3,ENI,NONE
400,AH4,3,ENI,NONE
401,AH4,3,ENI,NONE
402,AH4,3,ENI,NONE
403,AH4,3,ENI,NONE
404,AH4,3,ENI,NONE
405,AH4,3,ENI,NONE
406,AH4,3,ENI,NONE
407,AH4,3,ENI,NONE
408,AH5,3,ENI,NONE
409,AH5,3,ENI,NONE
410,AH5,3,ENI,NONE
411,AH5,3,ENI,NONE
412,AH5,3,ENI,NONE
413,AH5,3,ENI,NONE
414,AH5,3,ENI,NONE
415,AH5,3,ENI,NONE
416,AH5,3,ENI,NONE
417,AH5,3,ENI,NONE
418,AH5,3,ENI,NONE
419,AH7,3,ENI,NONE
420,AH7,3,ENI,NONE
421,AH7,3,ENI,NONE
422,AH7,3,ENI,NONE
423,AH7,3,ENI,NONE
424,AH7,3,ENI,NONE
425,AH7,3,ENI,NONE
426,AH7,3,ENI,NONE
427,AH7,3,ENI,NONE
428,AH7,3,ENI,NONE
429,AH7,3,ENI,NONE
430,AH7,3,ENI,NONE
431,AH7,3,ENI,NONE
432,AH7,3,ENI,NONE
433,AH7,3,ENI,NONE
434,AH7,3,ENI,NONE
435,AH7,3,ENI,NONE
436,AH7,3,ENI,NONE
437,AH7,3,ENI,NONE
438,AH7,3,ENI,NONE
